URL,Name,Vegetable,Meat,Other,Rice,Seafood,Ingredients
https://user-images.githubusercontent.com/113488749/236106658-6c0cffdf-235c-4991-80ee-1b908fcde1f6.png,Five-nuts Mooncake,Nuts,No,No,Cake,No,No
https://user-images.githubusercontent.com/113488749/236106661-494c4530-3b27-41fc-89a7-55f9d4cf67dd.png,Stir-fried Chicken Gizzard,No,Chicken,No,No,No,Green Pepper
https://user-images.githubusercontent.com/113488749/236106662-1d35a89e-1d77-4142-abcc-365b8ddf56d5.png,Steamed Head with Chopped Chili,No,No,No,No,Fish,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106663-00bd4652-e4d5-4b35-8320-c4f320de22d4.png,Bitter Melon Salad,Roots,No,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106664-f5227aca-c84f-492c-92cf-db952e913adb.png,Diced Chicken With Spicy Chilies,Nuts,Chicken,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106669-e79da610-69c2-4779-bd51-f5bf096a15dd.png,Cashew Chicken,Nuts,Chicken,No,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106670-29f8c5df-fd98-4f7c-9a12-264332150fa2.png,Shredded Potato Stir Fry,Roots,No,No,No,No,Green Pepper
https://user-images.githubusercontent.com/113488749/236106671-4d91e32a-76d0-43cd-b58c-227c1b2c830b.png,Grass Jelly with Taro Balls and Coconut Milk,No,No,No,Cake,No,No
https://user-images.githubusercontent.com/113488749/236106672-9fea7e15-513c-46d2-8608-7834b9565e03.png,Fried Shanghai Qing,Leaves,No,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106673-5e74d91e-cdaa-4c05-be04-e80d6a58c9e6.png,Cold Vegetbale Dish,Leaves,No,No,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106674-a18f230d-250e-43f9-83c0-22104e6583a2.png,Sweet and Sour Ribs ,No,Pork,No,No,No,No
https://user-images.githubusercontent.com/113488749/236106675-6a86a331-db25-4923-8f97-c14053c696b1.png,Spicy Hot Pot,No,No,Tofu,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106676-9d8d3c9a-3012-42f7-874c-5f1f2458b69e.png,Sichuan Boiled Fish,No,No,No,No,Fish,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106678-f6b72835-2862-4561-851c-1ea214795eb1.png,Sichuan Boiled Spicy Pork,No,Pork,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106680-5eaf782c-40a9-4b62-92c0-a9ba92d3fd7e.png,Stir-fried Beef with Coriander,No,Pork,No,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106681-444b6b20-9aa5-4aae-ab2e-eb5771f85c1e.png,Egg Fried Rice,No,No,Egg,Rice,No,No
https://user-images.githubusercontent.com/113488749/236106682-3714244a-ca2a-4113-be13-3c9835b79673.png,Griddle Pork Intestines,No,Pork,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106683-352f1561-361c-46ec-91e0-10a4b82e44a8.png,Sauerkraut Fish,Leaves,No,No,No,Fish,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106684-90be300d-21bb-484d-93a0-130911532491.png,Saut¨¦ed Celery and Lily Bulbs,Leaves,No,No,No,No,No
https://user-images.githubusercontent.com/113488749/236106685-62133249-c5f5-49a4-8327-ae189759a024.png,Braised Chicken,Beans,Chicken,No,No,No,Pork
https://user-images.githubusercontent.com/113488749/236106686-dc3560d8-196a-43e3-b2f8-afe53b3760e6.png,Long Beans Braised Noodle,Beans,No,No,Noodles,No,Red Pepper
